,date,code,open,high,low,close,volume,amount
283,2017/7/31,sh.600519,484,487.96,481,481.22,3841218,1861154800
284,2017/8/1,sh.600519,481,483,477.4,480.24,2750154,1318453664
285,2017/8/2,sh.600519,480.04,484.88,478.51,482.84,2677422,1289564016
286,2017/8/3,sh.600519,483.68,486.85,475.63,477.22,3176839,1522998144
287,2017/8/4,sh.600519,477,478.98,472.6,473.64,1868114,887074160
288,2017/8/7,sh.600519,472.5,482.4,471.13,481.56,2309937,1104715344
289,2017/8/8,sh.600519,482,484.22,479.5,482.58,1605158,773408192
290,2017/8/9,sh.600519,484.84,492.98,482.03,490.85,4179447,2045888048
291,2017/8/10,sh.600519,491.09,499.6,489,491.63,3536438,1747693648
292,2017/8/11,sh.600519,489,496.55,483.48,484.06,3657257,1785149168
293,2017/8/14,sh.600519,485.21,500.1,485.21,499.83,3933147,1952353920
294,2017/8/15,sh.600519,500.11,501.1,495.01,495.97,2716322,1350104672
295,2017/8/16,sh.600519,498,498.8,493,496.49,1858722,921412992
296,2017/8/17,sh.600519,497.6,497.6,489.8,492.69,2584673,1272341264
297,2017/8/18,sh.600519,492.8,494.44,488,489.65,2385775,1169732672
298,2017/8/21,sh.600519,488,494.4,486.94,489.73,2354662,1153168720
299,2017/8/22,sh.600519,487.4,489.48,476,487.22,4245703,2051271360
300,2017/8/23,sh.600519,485.45,494.63,484.32,494.01,2721499,1337347648
301,2017/8/24,sh.600519,493.99,496.4,492.02,492.81,1815678,896861680
302,2017/8/25,sh.600519,493.45,494.25,489.32,492.99,1729788,850598720
303,2017/8/28,sh.600519,493,497.29,491.03,492.04,2902107,1432545552
304,2017/8/29,sh.600519,493.02,494.88,488.01,489.44,2517662,1234431712
305,2017/8/30,sh.600519,489.7,493.75,489.16,492.97,1850364,910133936
306,2017/8/31,sh.600519,494.04,494.88,489.8,491.15,1873686,921659712
307,2017/9/1,sh.600519,490.2,496.28,490.03,495.18,3145100,1554634576
308,2017/9/4,sh.600519,495.18,496.66,491.27,492.42,1893162,932954816
309,2017/9/5,sh.600519,492.88,493.99,489.5,489.99,2262215,1112006400
310,2017/9/6,sh.600519,490,492.77,484.84,484.98,3300650,1608066096
311,2017/9/7,sh.600519,485.31,486.9,480.06,481.27,3332016,1605408576
312,2017/9/8,sh.600519,478.25,480.5,474,474.37,4117327,1962989424
313,2017/9/11,sh.600519,471.09,482.22,469.98,478.32,4537440,2161657248
314,2017/9/12,sh.600519,479.5,486,478.4,484.91,3434163,1661294228
315,2017/9/13,sh.600519,485,492.2,481.38,491.63,3307570,1618956527
316,2017/9/14,sh.600519,492.99,494.03,488.99,490.71,1939949,953145166
317,2017/9/15,sh.600519,492.5,492.5,488,489.84,1603946,786562205
318,2017/9/18,sh.600519,490.14,500.5,490.14,498.97,4220681,2101680376
319,2017/9/19,sh.600519,500.3,502.5,496.01,496.95,2305481,1151152851
320,2017/9/20,sh.600519,496.9,500.02,496,496.2,1731816,862024944
321,2017/9/21,sh.600519,495.94,500.58,492.88,498.77,1940268,963615276
322,2017/9/22,sh.600519,496.9,500.18,495.8,499.93,1634353,815718865
323,2017/9/25,sh.600519,500.31,508.2,500.3,507.24,3269756,1649582919
324,2017/9/26,sh.600519,506.69,510,503.6,509.29,2547049,1292872632
